College name,College url,Establishment year,Total students,Course total students,Institution code
Melbourne Institute of Technology,https://www.courseseeker.edu.au/institutions/melbourne-institute-of-technology,,571,0.0,4367.0
Melbourne Polytechnic,https://www.courseseeker.edu.au/institutions/melbourne-polytechnic,1912.0,501,0.0,4363.0
Monash College,https://www.courseseeker.edu.au/institutions/monash-college,,2192,0.0,4340.0
Moore Theological College,https://www.courseseeker.edu.au/institutions/moore-theological-college,,,104.0,4338.0
Montessori World Educational Institute (Australia),https://www.courseseeker.edu.au/institutions/montessori-world-educational-institute-australia,,36,0.0,4431.0
Monash University,https://www.courseseeker.edu.au/institutions/monash-university,,13703,0.0,3035.0
Morling College,https://www.courseseeker.edu.au/institutions/morling-college,,,,
Murdoch University,https://www.courseseeker.edu.au/institutions/murdoch-university,,"3,280",34060.0,1034.0
National Institute of Organisation Dynamics Australia,https://www.courseseeker.edu.au/institutions/national-institute-of-organisation-dynamics-australia,,,,
National Art School,https://www.courseseeker.edu.au/institutions/national-art-school,,196,0.0,4419.0
Open Universities Australia,https://www.courseseeker.edu.au/institutions/open-universities-australia,,,,
Ozford Institute of Higher Education,https://www.courseseeker.edu.au/institutions/ozford-institute-of-higher-education,,30,0.0,6042.0
Performing Arts Education,https://www.courseseeker.edu.au/institutions/performing-arts-education,,36,0.0,7334.0
Perth Bible College,https://www.courseseeker.edu.au/institutions/perth-bible-college,1928.0,12,0.0,4360.0
Photography Studies College (Melbourne),https://www.courseseeker.edu.au/institutions/photography-studies-college-melbourne,2011.0,49,0.0,7035.0
Polytechnic Institute Australia,https://www.courseseeker.edu.au/institutions/polytechnic-institute-australia,,88,344.0,4467.0
Queensland University of Technology,https://www.courseseeker.edu.au/institutions/queensland-university-of-technology,,9245,5052.0,3042.0
RMIT University,https://www.courseseeker.edu.au/institutions/rmit-university,,12468,0.0,3034.0
SAE Creative Media Institute,https://www.courseseeker.edu.au/institutions/sae-creative-media-institute,,1048,2108.0,4371.0
Sheridan Institute of Higher Education,https://www.courseseeker.edu.au/institutions/sheridan-institute-of-higher-education,,,0.0,4465.0
South Australian Institute of Business and Technology,https://www.courseseeker.edu.au/institutions/south-australian-institute-of-business-and-technology,,,0.0,4344.0
Southern Cross University,https://www.courseseeker.edu.au/institutions/southern-cross-university,,2968,11479.0,3038.0
Stanley College,https://www.courseseeker.edu.au/institutions/stanley-college,,201,201.0,7454.0
Sydney College of Divinity,https://www.courseseeker.edu.au/institutions/sydney-college-of-divinity,,227,0.0,4332.0
Swinburne University of Technology,https://www.courseseeker.edu.au/institutions/swinburne-university-of-technology,,9711,0.0,2177.0
Sydney Institute of Business and Technology,https://www.courseseeker.edu.au/institutions/sydney-institute-of-business-and-technology,,55,131.0,4349.0
Sydney Institute of Traditional Chinese Medicine,https://www.courseseeker.edu.au/institutions/sydney-institute-of-traditional-chinese-medicine,,25,36.0,7041.0
TAFE NSW,https://www.courseseeker.edu.au/institutions/tafe-nsw,,1114,1052.0,7075.0
TAFE SA,https://www.courseseeker.edu.au/institutions/tafe-sa,1997.0,,0.0,7338.0
Tabor,https://www.courseseeker.edu.au/institutions/tabor,,,0.0,4334.0
TAFE Queensland,https://www.courseseeker.edu.au/institutions/tafe-queensland,,82,81.0,4450.0
The Australasian College of Dermatologists,https://www.courseseeker.edu.au/institutions/the-australasian-college-of-dermatologists,,10,,
The Australian Chiropractic College,https://www.courseseeker.edu.au/institutions/the-australian-chiropractic-college,,38,38.0,6053.0
The Australian National University,https://www.courseseeker.edu.au/institutions/the-australian-national-university,,3162,2519.0,3033.0
The Cairnmillar Institute,https://www.courseseeker.edu.au/institutions/the-cairnmillar-institute,,,0.0,6043.0
The Institute of International Studies,https://www.courseseeker.edu.au/institutions/the-institute-of-international-studies,,,,
The MIECAT Institute,https://www.courseseeker.edu.au/institutions/the-miecat-institute,,,,
The National Institute of Dramatic Art,https://www.courseseeker.edu.au/institutions/the-national-institute-of-dramatic-art,,63,,
