College name,College url,Course name,Course url,Course ID,Highest rank to receive an offer - ATAR,Median rank to receive an offer - ATAR,Lowest rank to receive an offer - ATAR,Highest rank to receive an offer - Selection Rank,Median rank to receive an offer - Selection Rank,Lowest rank to receive an offer - Selection Rank,Campus name,Campus latitude,Campus longitude,Intake year,Total students,Campus ID,Campus Code,Institution Code
Griffith University,https://www.courseseeker.edu.au/institutions/griffith-university,Bachelor of International Tourism and Hotel Management/Bachelor of Business,https://www.courseseeker.edu.au/courses/bachelor-of-international-tourism-and-hotel-management-bachelor-of-business-QTAC272035,QTAC272035,,,,,,,Online,,,2023,<5,3032-GI,GI,3032
Griffith University,https://www.courseseeker.edu.au/institutions/griffith-university,Bachelor of International Tourism and Hotel Management/Bachelor of Business,https://www.courseseeker.edu.au/courses/bachelor-of-international-tourism-and-hotel-management-bachelor-of-business-UAC283161,UAC283161,,,,,,,Nathan,-27.55947000,153.05646000,,,3032-GN,GN,3032
Griffith University,https://www.courseseeker.edu.au/institutions/griffith-university,Bachelor of International Tourism and Hotel Management/Bachelor of Business,https://www.courseseeker.edu.au/courses/bachelor-of-international-tourism-and-hotel-management-bachelor-of-business-UAC283134,UAC283134,89.70,79.10,67.70,97.70,84.10,75.70,Gold Coast,-27.96175000,153.38266000,2023,8,3032-GC,GC,3032
Griffith University,https://www.courseseeker.edu.au/institutions/griffith-university,Bachelor of International Tourism and Hotel Management/Bachelor of Business,https://www.courseseeker.edu.au/courses/bachelor-of-international-tourism-and-hotel-management-bachelor-of-business-UAC283810,UAC283810,72.15,72.15,72.15,72.15,72.15,72.15,Online,,,2023,<5,3032-GI,GI,3032
Bond University,https://www.courseseeker.edu.au/institutions/bond-university,Bachelor of Journalism,https://www.courseseeker.edu.au/courses/bachelor-of-journalism-QTACHS-20026BD,QTACHS-20026BD,,,,,,,Gold Coast,-28.07224000,153.41766000,2023,109,3003-BD,BD,3003
University of Wollongong,https://www.courseseeker.edu.au/institutions/university-of-wollongong,Bachelor of Journalism,https://www.courseseeker.edu.au/courses/bachelor-of-journalism-UAC754700,UAC754700,<5,<5,<5,<5,<5,<5,Wollongong,-34.40540300,150.87842000,2022,15,1058-UW,UW,1058
The University of Queensland,https://www.courseseeker.edu.au/institutions/the-university-of-queensland,Bachelor of Journalism,https://www.courseseeker.edu.au/courses/bachelor-of-journalism-QTAC737001,QTAC737001,99.65,88.10,76.95,99.95,89.10,80.10,St Lucia,-27.49543200,153.01202400,2023,24,3019-UV,UV,3019
University of South Australia,https://www.courseseeker.edu.au/institutions/university-of-south-australia,Bachelor of Journalism and Professional Writing,https://www.courseseeker.edu.au/courses/bachelor-of-journalism-and-professional-writing-SATAC444431,SATAC444431,94.90,78.05,60.80,99.60,86.55,68.75,Magill Campus,-34.91054500,138.67508000,,,3027-04,04,3027
The University of Queensland,https://www.courseseeker.edu.au/institutions/the-university-of-queensland,Bachelor of Journalism (Honours),https://www.courseseeker.edu.au/courses/bachelor-of-journalism-honours-QTAC2041UQ,QTAC2041UQ,,,,,,,St Lucia,-27.49543200,153.01202400,,,3019-UV,UV,3019
University of South Australia,https://www.courseseeker.edu.au/institutions/university-of-south-australia,Bachelor of Journalism and Professional Writing/Bachelor of Arts (Creative Writing and Literature),https://www.courseseeker.edu.au/courses/bachelor-of-journalism-and-professional-writing-bachelor-of-arts-creative-writing-and-literature-SATAC444461,SATAC444461,97.60,78.50,65.75,98.65,81.10,69.95,Magill Campus,-34.91054500,138.67508000,,,3027-04,04,3027
University of South Australia,https://www.courseseeker.edu.au/institutions/university-of-south-australia,Bachelor of Journalism and Professional Writing/Master of Communication,https://www.courseseeker.edu.au/courses/bachelor-of-journalism-and-professional-writing-master-of-communication-SATAC444604,SATAC444604,94.90,78.05,60.80,99.60,86.55,68.75,City West Campus,-34.92214600,138.59038300,,,3027-03,03,3027
Bond University,https://www.courseseeker.edu.au/institutions/bond-university,Bachelor of Journalism/Bachelor of Laws,https://www.courseseeker.edu.au/courses/bachelor-of-journalism-bachelor-of-laws-QTACHL-21054BD,QTACHL-21054BD,,,,,,,Gold Coast,-28.07224000,153.41766000,2023,43,3003-BD,BD,3003
Bond University,https://www.courseseeker.edu.au/institutions/bond-university,Bachelor of Jurisprudence,https://www.courseseeker.edu.au/courses/bachelor-of-jurisprudence-QTACLA-40002BD,QTACLA-40002BD,,,,,,,Gold Coast,-28.07224000,153.41766000,2023,43,3003-BD,BD,3003
The University of Queensland,https://www.courseseeker.edu.au/institutions/the-university-of-queensland,Bachelor of Journalism/Bachelor of Arts,https://www.courseseeker.edu.au/courses/bachelor-of-journalism-bachelor-of-arts-QTAC730101,QTAC730101,99.45,89.40,78.55,99.95,90.15,80.20,St Lucia,-27.49543200,153.01202400,2023,39,3019-UV,UV,3019
The University of Queensland,https://www.courseseeker.edu.au/institutions/the-university-of-queensland,Bachelor of Journalism/Bachelor of Laws (Honours),https://www.courseseeker.edu.au/courses/bachelor-of-journalism-bachelor-of-laws-honours-QTAC737102,QTAC737102,99.20,98.15,96.15,99.95,99.95,97.85,St Lucia,-27.49543200,153.01202400,2023,11,3019-UV,UV,3019
University of Canberra,https://www.courseseeker.edu.au/institutions/university-of-canberra,Bachelor of Justice Studies,https://www.courseseeker.edu.au/courses/bachelor-of-justice-studies-UAC367035,UAC367035,78.3,70.88,63.7,88.3,72,65.75,Canberra,-35.23846000,149.08444000,2022,24,2241-CE,CE,2241
Queensland University of Technology,https://www.courseseeker.edu.au/institutions/queensland-university-of-technology,Bachelor of Justice,https://www.courseseeker.edu.au/courses/bachelor-of-justice-QTAC417301,QTAC417301,89.75,75.03,65.15,91.25,76.88,70.20,Kelvin Grove/ Online,,,2023,78,3042-TQ,TQ,3042
University of Tasmania,https://www.courseseeker.edu.au/institutions/university-of-tasmania,Bachelor of Justice Studies,https://www.courseseeker.edu.au/courses/bachelor-of-justice-studies-13QHOUTAS,13QHOUTAS,96.45,70.02,43.6,96.45,70.02,43.6,Hobart,-42.90402200,147.32550000,2022,40,3045-HO,HO,3045
University of Tasmania,https://www.courseseeker.edu.au/institutions/university-of-tasmania,Bachelor of Justice Studies,https://www.courseseeker.edu.au/courses/bachelor-of-justice-studies-13QLAUTAS,13QLAUTAS,96.45,70.02,43.6,96.45,70.02,43.6,Launceston,-41.40235800,147.12365000,2022,40,3045-LA,LA,3045
